YEAR,CAN_ESM2|85 PPMEAN,CESM1_BGC|85 PPMEAN,GFDL_ESM2G|85 PPMEAN,GFDL_ESM2M|85 PPMEAN,HADGEM2_CC|85 PPMEAN,HADGEM2_ES|85 PPMEAN,IPSL_CM5A_LR|85 PPMEAN,IPSL_CM5A_MR|85 PPMEAN,IPSL_CM5B_LR|85 PPMEAN,MIROC_ESM|85 PPMEAN,MPI_ESM_LR|85 PPMEAN,MPI_ESM_MR|85 PPMEAN,NORESM1_ME|85 PPMEAN,CMCC_CESM|85 PPMEAN
2014,587.125061,469.2214661,475.6604614,625.5834961,220.4475861,170.9174652,290.8035278,331.1995544,179.2392883,103.1118164,183.5659485,180.125,322.2207031,30.18239021
2015,549.0612183,449.6268005,477.9334106,617.6188354,227.2670593,185.4793549,279.1045837,334.3571167,169.9022064,106.2733078,236.2443695,171.1904907,344.3347168,29.09971237
2016,592.2999268,425.9719543,439.1309814,623.078186,226.2901611,180.4843292,291.8538818,308.2087708,163.1650696,104.3648834,200.6822968,167.6848907,299.4212952,19.70761871
2017,600.3486938,448.1582642,448.3246765,634.0706177,224.1278229,166.2224274,277.967865,325.0302124,169.8784637,106.5361176,204.914566,167.6165466,312.4310608,41.90105057
2018,594.7110596,437.8212585,480.6192932,631.6172485,231.2888031,152.9667358,285.9551392,305.1341248,194.066925,111.4382248,201.0723724,162.7806854,314.994751,22.07772064
2019,611.7351074,436.1923828,483.6690369,631.1040649,213.5859833,169.2006226,310.0005188,309.2424622,195.1744537,112.8076706,200.3127136,162.9139557,336.5227661,35.22249603
2020,603.9487915,431.0604858,462.8119202,621.0600586,209.9090271,174.7687683,271.3496094,319.568512,206.5366974,111.9143829,192.684967,164.4877319,320.6271973,37.74787521
2021,546.0974121,469.3194275,497.6323547,635.0300293,199.7371674,190.1028748,286.4524841,303.7606506,196.6640625,108.1672745,189.9654083,138.8843689,312.825531,27.01886368
2022,554.8795776,438.8751221,495.8041077,636.5266113,200.0165253,180.1329041,259.2394104,263.7710876,195.6337128,110.9799271,200.8085175,140.2571716,311.5878601,45.64103317
2023,538.0072021,444.7397461,446.1374817,613.5131226,192.1660767,164.613266,272.3143616,298.9569397,235.2868652,110.7190094,195.6922607,145.9622498,295.9077148,42.58604813
2024,535.1379395,445.0909119,479.0135498,607.8692627,194.9915466,163.9340515,270.1773682,286.0042419,247.6710968,104.2708054,184.2717743,153.260376,352.0336914,32.67053986
2025,546.3930664,427.410675,483.7843933,614.5863037,204.1116028,177.2806244,294.7348938,259.4479675,199.2318115,104.6953125,184.2182312,174.8317719,309.5393677,33.80062866
2026,553.4627686,433.0303345,451.8679199,645.2006226,180.327652,164.1448669,265.5321655,307.9859009,180.7400055,101.1674423,218.9768982,161.8241119,275.4764709,48.20589066
2027,561.1920776,424.3013916,433.8838501,611.6374512,192.9457245,168.7093201,271.5620422,322.9104309,148.7092438,97.86898804,194.5383301,163.2311707,335.7798462,52.83521271
2028,568.9147949,436.1824646,451.400177,613.8009033,188.6317444,166.8435211,286.8485413,299.8156128,143.3044281,96.3105545,201.2558899,157.3965149,298.229248,67.43152618
2029,576.9975586,433.149231,456.6574097,632.314209,188.8740845,171.0094299,266.447113,280.3974304,132.8556061,105.7452927,191.2229767,156.9863434,339.163208,59.6166687
2030,604.1712036,447.296814,453.8888245,625.8251953,179.4600983,160.0211334,272.6094971,279.6394653,150.745285,104.1063766,202.9562836,162.0023804,289.6031494,44.43124771
2031,617.4974365,408.3504028,446.602478,622.6893921,182.0648804,138.0043182,266.5743713,266.9238281,135.674881,99.81876373,184.6651611,165.346817,313.4292297,38.27706528
2032,596.3527832,440.5264893,451.6815796,613.8274536,180.0799866,139.7814636,262.359375,279.2374268,136.9402008,101.1886673,169.54422,174.2981415,347.0365906,60.38154984
2033,567.6472778,445.7020569,459.9958801,621.9002686,162.9527435,158.7534027,264.0675659,267.1594238,154.3651581,106.2385254,178.6718903,153.0285797,316.4390564,47.51259613
2034,560.7905273,411.4990234,459.6306458,589.826416,173.9638062,157.0431976,262.4020081,257.9862366,169.112854,103.7064972,186.9687347,158.0430908,317.93396,33.01464462
2035,519.1404419,428.4358521,472.4207458,614.550415,165.7712402,154.6309357,293.731842,250.3934479,173.5728455,107.2585144,199.4735565,164.8557129,334.5490723,41.56386948
2036,542.0606689,414.8033447,418.2597351,583.5139771,180.060257,130.4129791,265.7231445,240.0128326,180.3061981,112.9702606,202.2203827,162.3452606,312.5547791,31.68059158
2037,539.5310059,418.0108337,493.1746521,612.0143433,171.3705902,129.1409607,258.1049194,259.9758301,158.1216125,111.9784851,176.0954437,163.8437805,345.060791,22.36203384
2038,572.0585327,435.878479,447.6489563,603.2223511,175.2611237,134.0444794,261.9248657,238.2635345,150.2166443,112.1063995,212.8759766,156.4191132,301.8928528,89.89525604
2039,548.7543945,453.6992493,432.9066162,602.2680054,173.7485504,146.0361023,253.8609314,217.0998077,140.7729797,107.2946396,178.0943298,159.1124115,282.7304077,66.96781921
2040,585.2932129,414.0225525,442.396759,590.5675049,181.2932434,154.1552277,259.7504272,201.2941589,147.9487457,109.83564,192.8230896,155.3018494,328.1620789,30.37288284
2041,578.5147095,433.1446533,435.4738159,623.9707031,168.9919586,152.2266998,229.2198486,188.793457,154.0220032,110.7406082,169.6389923,145.0682983,321.9790344,23.63812828
2042,561.0710449,436.4560852,443.8539734,644.4488525,176.5858917,149.7504272,221.6878662,184.2776184,144.8780518,110.1464005,177.194458,155.0681,310.0027466,31.48116875
2043,539.5436401,432.3188782,464.3155823,621.5556641,169.5851898,172.3352356,228.2801514,195.2775726,169.1878357,111.9541931,181.4803925,160.0496674,304.2276917,58.78302002
2044,517.8251953,428.1234741,463.5405579,614.2527466,163.8610992,168.4124451,216.4363098,196.672348,174.0611877,104.8433914,203.1382904,152.5658417,299.9807129,53.77633286
2045,508.7727966,426.9309082,464.3057861,611.3969116,179.9685516,138.5205841,224.7698517,199.6522522,190.9836884,104.6955261,187.1164246,144.383606,293.243042,70.66526794
2046,505.552002,397.1080322,460.3251648,629.2671509,189.6262665,118.6749954,214.1490326,195.5851135,183.372879,107.4959564,177.7536011,135.2705536,303.0776367,36.00886917
2047,513.4822998,460.0115356,461.510437,615.3736572,169.3823242,113.7672272,221.0229034,200.6812439,171.787262,107.0576248,178.9200287,122.2313538,296.3197937,35.43190002
2048,565.4611206,420.9626465,456.7286987,596.9667969,145.6958313,101.385849,216.2398987,207.6349792,165.9928589,105.1585693,198.7000275,128.4226532,307.0753784,31.10513115
2049,524.3803711,449.6270752,439.6216431,583.8496704,154.9766235,102.2567596,220.9047089,209.2387085,141.6097717,103.2551117,195.3449097,130.1007233,290.4618835,35.48630905
2050,488.6884155,410.1394043,441.0504761,594.4726563,159.5191803,88.33232117,223.133194,178.2552338,137.0216675,107.1813202,184.8292236,148.012146,320.5502319,33.15969086
2051,536.7696533,419.2896729,415.1175232,612.244873,155.6721344,82.40466309,224.5528107,158.879837,151.3559875,111.2902145,179.4104767,143.748291,292.299469,31.00869751
2052,558.3900146,411.8267212,421.7135315,586.3561401,145.3565063,86.75556946,210.447113,163.9594421,156.9807281,109.3340836,164.6457214,131.2629852,307.5151978,55.55636978
2053,554.0493164,406.6290283,464.6355591,585.477417,159.4718323,99.09085083,201.1993866,161.7133484,183.136795,108.5424118,161.3503113,140.9338837,288.6408081,72.96983337
2054,555.6784668,410.6002808,435.4852295,608.8083496,155.2176971,119.9301529,175.4169006,198.9398651,167.7476501,109.0669479,185.1164246,146.0202332,285.5706482,55.67907333
2055,570.5657959,411.5410461,428.8854065,596.6676636,164.5157623,131.422348,176.1492004,206.3268738,161.9969482,104.8782959,182.2068787,148.279892,304.4361267,47.7886734
2056,549.1561279,415.9503479,435.0451965,608.7702637,162.3594055,105.313591,186.5198517,202.4214478,156.5696564,102.5927582,174.7884216,129.6581879,301.4989014,26.09141731
2057,534.7510376,412.1936646,439.0282593,592.0753784,150.6674652,85.23888397,191.5815735,239.5409851,160.4809418,103.9338608,188.0138092,133.1777344,289.292572,34.603302
2058,491.2837524,401.6828003,432.1507263,612.4926758,140.5090332,89.26583099,189.908432,241.7442932,171.7247925,103.4175262,154.6983032,132.5374146,291.8601379,46.71488571
2059,435.433197,425.3676147,442.3589478,585.6256714,124.6955185,100.9847183,190.6921539,201.2324829,151.2173615,101.1359634,173.6527405,141.0842743,265.1913147,36.37677383
2060,473.0279541,437.7263489,426.4116516,581.4801636,110.8040314,78.11841583,201.9329529,222.4232788,156.958847,101.4177017,157.9520111,119.9957275,292.6770935,53.41115952
2061,509.3872681,414.3450317,437.1590881,646.5986938,111.041275,85.1650238,182.8585815,194.6627808,154.3154907,107.8339615,166.9173279,129.9618988,275.739563,62.84228134
2062,510.6423035,410.4645691,389.114502,609.5565186,111.9301453,71.02825165,191.7492981,194.7045746,159.9729462,108.1584396,160.4540863,145.0168304,312.1688843,57.95198441
2063,537.546875,410.6499634,424.6609497,616.3597412,117.5079956,75.02573395,175.8618011,202.5154877,165.1827087,107.6936188,177.2676849,143.629776,325.5259094,44.96788788
2064,566.3569946,408.0298767,418.6893005,598.0019531,104.3772354,78.7216568,205.5552216,196.1110229,158.4606476,111.7711105,165.3480988,133.872879,301.5284119,64.77433014
2065,520.4495239,419.394043,439.004303,600.0372314,123.3729172,70.77065277,201.7478485,201.8504486,165.2128143,103.002121,180.3733521,132.2845917,308.1069946,53.40895844
2066,522.4590454,400.6704712,402.641571,583.8526001,126.3316269,68.7482605,203.9672546,211.0113678,174.8514557,105.7640305,167.350769,127.9508286,311.7052917,40.75840378
2067,504.4787598,412.0541077,420.469696,600.4368286,140.6150513,81.65675354,197.7639771,211.2360535,149.5928497,108.9960022,159.7678528,124.1963654,317.6468201,36.64740753
2068,436.3607178,425.7070007,428.7335205,577.9767456,136.6007233,87.02256012,179.7393188,211.0390472,142.2745361,111.8086395,157.1416931,125.8675842,289.2296753,76.48834991
2069,424.612854,443.6092834,441.2507019,602.1743774,132.0026398,64.39230347,171.2379608,197.5227051,145.9048615,114.3645096,178.1950684,128.6360779,268.2831726,65.81897736
2070,467.6106873,410.5973816,428.4309082,604.1859741,150.4170227,58.2618103,162.7165985,201.0370483,139.8206329,112.1037292,190.8838348,126.9946136,258.448761,40.76477814
2071,476.5712891,415.5379333,410.7631226,581.7059326,153.4992981,62.63010788,163.5113068,198.4571838,145.4945984,109.6329575,157.1204529,125.05513,301.730072,36.31492996
2072,478.9989624,421.8671265,418.7915344,612.6171875,137.2606964,74.0042572,149.1366425,172.7834625,148.221817,112.8689575,176.9828186,134.79422,293.239624,22.54350853
2073,487.5950623,399.1403198,459.5563965,591.7213135,134.010788,87.95724487,136.6196289,164.8605347,153.3828735,113.0355301,171.0383148,132.2508698,314.0620117,57.46916199
2074,521.6273804,421.2437439,419.2775574,612.980896,124.5007248,79.60389709,129.198761,189.085556,151.2431183,115.4181213,169.4597015,122.3697739,279.8175964,89.25837708
2075,510.2341919,407.8233032,398.1386108,598.3848877,109.6362305,68.26535034,134.9466705,169.3463135,147.0416718,116.6759949,181.3786316,128.0562744,279.9370422,59.92543793
2076,500.5614319,391.8816833,412.8710938,583.6416016,97.74254608,68.4203186,148.4496307,163.688797,135.4785309,118.6694107,186.7485504,123.1041107,281.7039185,49.21270752
2077,494.380127,404.6124573,404.6594238,574.8203735,104.9980927,61.19917297,168.3824768,187.1800842,137.9846649,115.7974472,170.0381317,128.0590668,281.6396179,55.87406921
2078,486.7402039,395.3456116,429.0288696,598.4701538,115.9724274,65.39923859,184.8298492,157.7059174,130.2562103,110.8791809,179.2371826,126.9393234,315.3261414,66.88874054
2079,501.6480408,402.7160034,428.720459,587.7510986,104.5227356,87.08608246,209.1431274,162.0623016,137.3392181,112.8861313,172.5636444,115.7885742,290.6853638,37.03560638
2080,520.5096436,389.9616089,406.3190002,611.3982544,103.3303299,79.90539551,181.3617554,150.3081055,131.8705139,121.4911423,174.3978271,129.749649,288.4622498,25.87764549
2081,515.71521,394.7559204,432.2685242,617.3131714,80.37683868,63.81518555,174.3344727,164.3957062,136.091156,121.9013138,183.6413269,120.3651505,273.6118774,43.30557632
2082,519.5442505,392.208313,408.6965027,565.1601563,84.900177,63.97695541,168.4991455,155.673645,158.4184875,118.5670929,166.835968,118.0932083,290.8265076,64.40707397
2083,479.6479492,393.931488,414.3931885,579.3643799,74.28575134,61.75088882,141.6360626,162.3831177,183.0787048,114.8047333,157.4004211,114.384552,286.758728,75.03806305
2084,487.4893799,379.4968262,396.4605103,585.8649902,83.7305603,56.11518097,126.9349442,164.4907074,166.6493988,119.6021805,147.5184326,123.1106644,267.3959961,64.38845062
2085,489.0161743,387.4816284,382.3829041,575.1873169,81.91759491,52.33644104,130.3638611,176.8279877,166.6830292,120.1891022,188.3797913,121.164299,260.0470276,60.06387711
2086,453.6408081,395.248291,410.2544861,580.7080078,76.34662628,38.91316986,116.3466949,171.3300781,162.3883057,121.2367935,177.4286499,113.6787491,273.8459473,71.87142181
2087,455.0961304,412.8187561,388.4910278,584.1628418,100.4043274,42.73287964,132.8463745,159.0171356,172.4128723,119.6030426,185.7113647,109.8344421,275.1439209,37.34955978
2088,421.1934509,390.8953247,363.3418884,576.6253662,117.3279877,36.94284439,145.6576385,148.8097534,162.6796417,125.1080475,161.5495911,109.2582169,288.9715881,70.47925568
2089,460.8872986,394.1386719,400.6815796,592.064209,106.0672379,37.02288055,165.1068726,176.6529541,172.0499573,125.5081329,146.157196,109.8067932,314.5653687,38.52872849
2090,425.8823853,389.3692017,374.8870544,618.1121826,103.3740997,29.80982208,164.7937622,155.1513062,166.1018372,125.2662506,157.3980408,121.1312408,284.975708,32.26430893
2091,370.7662964,396.6982422,412.2883606,595.6004639,94.16726685,28.59710884,155.0555267,135.9136047,197.9374237,123.3991318,175.0106659,127.0121384,265.9536743,53.99264145
2092,415.4681702,380.95224,395.9115906,604.1600952,78.49178314,18.15112305,142.5576172,147.0987091,173.1782074,129.987915,181.4556732,104.4495468,283.5839539,69.8291626
2093,475.807251,383.4458923,393.1404419,583.0427246,67.69106293,16.46375465,144.3605194,163.4147034,173.9676971,134.4884796,174.3502197,110.9109955,296.2739868,92.21177673
2094,500.6465454,395.5144043,384.8409729,558.4390259,82.871315,22.67638206,126.2372208,164.0436249,171.2541809,131.002594,164.4599457,118.4725952,283.8456421,62.33935165
2095,431.041748,376.770813,392.2626343,540.7470703,81.53858948,25.24611092,130.6804504,145.479248,170.2578735,135.3173828,187.208374,119.5802994,268.4878235,46.16030502
2096,448.0570679,384.7105103,388.0358582,577.0375977,55.22002411,28.72319984,138.5304108,157.0580902,188.0548248,126.5731125,175.1431732,118.4741287,281.9224548,46.03482056
2097,430.1065979,368.8255615,370.6573181,550.0474854,52.48748016,26.1310215,142.9549255,148.7092743,183.9218292,134.578125,158.0873413,104.544548,292.3724976,74.66559601
2098,422.7888489,385.8858337,380.5789185,545.6275635,58.16625977,27.86506462,155.4321289,158.722702,185.6132965,129.3023071,162.5875549,110.8096924,288.4443359,80.75789642
2099,445.8004761,387.2548523,376.1474609,550.1231689,44.53937531,39.55094528,167.3632202,154.1471558,172.1398926,133.6652069,155.1206207,102.3976593,276.6464539,54.6302681
