"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2030,9.50881036468197e-08,1.30486863873386e-07,3.09183955823864e-07,3.10519132071616e-07,4.13993230594416e-07,2.14657580385185e-07,2.35143739644118e-07,2.21643522573992e-07,2.05501341287596e-07,3.18399928100861e-07
2031,1.05425331063665e-07,1.15402826613724e-07,3.09425226778162e-07,3.02349627416093e-07,4.44739866534268e-07,2.12595340267642e-07,2.21051612496234e-07,1.98379019318262e-07,2.0334590322928e-07,3.24331208961785e-07
2032,1.05713650565043e-07,8.69025203300565e-08,3.22022673877343e-07,2.77051411073461e-07,4.401162489241e-07,2.2154236526029e-07,2.54374797858565e-07,2.02993348476908e-07,1.9121290688549e-07,3.27608923394506e-07
2033,1.05947299664188e-07,8.60298760280248e-08,2.96056856331626e-07,2.9461722588517e-07,4.20642976666316e-07,2.12628707893778e-07,2.44929574267429e-07,2.13410501707548e-07,2.08043098289031e-07,3.1263144934065e-07
2034,1.01440906013023e-07,9.26599869182022e-08,2.83961004199367e-07,3.09046765384326e-07,4.29375215860259e-07,2.12074875852465e-07,2.52670472302226e-07,2.27690258426865e-07,1.87438723214453e-07,2.803334069298e-07
2035,1.12337834847825e-07,1.23283678722133e-07,3.1508654631895e-07,2.99873161230348e-07,4.26913336106745e-07,2.10415066068505e-07,2.46400109338861e-07,2.38446521899935e-07,1.88871057218763e-07,3.1139482865626e-07
2036,1.00344027745142e-07,1.47562839098259e-07,2.99939555559688e-07,2.94633366402263e-07,4.19758980373256e-07,2.05558157347762e-07,2.42493701970361e-07,2.18652929338102e-07,1.94323336225491e-07,4.01567942664003e-07
2037,1.15950124038818e-07,1.39515014138208e-07,2.92115539381814e-07,2.90233290392497e-07,4.28854606990579e-07,2.08086706299309e-07,2.55664761107169e-07,2.10395652369565e-07,2.05077390053244e-07,4.30038457343202e-07
2038,1.00825475939412e-07,1.11372301431968e-07,2.98506648602982e-07,3.03735204597447e-07,4.3348267272859e-07,2.0459082120302e-07,2.42475465440906e-07,2.03180528579059e-07,1.99915314773237e-07,4.20572737668601e-07
2039,1.15333424010093e-07,1.04346979651343e-07,2.93220784981737e-07,3.03700939111354e-07,4.20630003242279e-07,1.86223671309299e-07,2.22581478306567e-07,2.35791543453324e-07,1.90923279350441e-07,3.91390971188475e-07
2040,9.73052256869874e-08,7.35146869790666e-08,3.28311558040377e-07,3.05792990322573e-07,4.3979451285316e-07,1.81153116865021e-07,2.29957989125174e-07,2.50333766125056e-07,1.91434206028268e-07,3.81329869461155e-07
2041,1.01450378750373e-07,6.45964839447421e-08,3.10874712488058e-07,3.03777893395664e-07,4.21569560654404e-07,1.86507731157911e-07,2.19956156731486e-07,2.58808846485745e-07,2.0074230165567e-07,2.70764656246284e-07
2042,1.03334580741013e-07,8.73710007287407e-08,3.09352999366315e-07,2.94100737238914e-07,4.12160532561749e-07,1.97999586865828e-07,2.28567092266139e-07,2.40732708953353e-07,2.00260693047973e-07,2.18884775789197e-07
2043,1.02962246425325e-07,1.05786824678006e-07,3.00282349828688e-07,2.86324399315412e-07,4.34825173313967e-07,2.03122833593883e-07,2.43132682445009e-07,2.46556131522043e-07,2.04404833334819e-07,2.19135032523986e-07
2044,1.05212344351277e-07,1.0771749980756e-07,3.10103575139253e-07,3.04789397012261e-07,4.23212672328003e-07,2.06306257128103e-07,2.44919155482756e-07,2.49618069585419e-07,1.93937262139168e-07,2.36645291729657e-07
2045,9.98526972157626e-08,7.47131304888994e-08,2.85274015110837e-07,2.82978858458637e-07,4.37133964781163e-07,1.95876852511733e-07,2.4251406835823e-07,2.37664600934718e-07,2.05915628760812e-07,2.3171023673126e-07
2046,1.02991252190616e-07,1.06908122206251e-07,2.81145812609559e-07,2.78105797972511e-07,4.1679310312459e-07,1.82812057849154e-07,2.35769183691665e-07,2.3103852655232e-07,1.82178974127453e-07,2.6415207514215e-07
2047,1.08992408209388e-07,1.0729791259447e-07,2.79271502990666e-07,2.8436089426905e-07,4.18415249979683e-07,1.8822498887676e-07,2.3528224233076e-07,2.59234569168681e-07,1.82025636759969e-07,2.91561645650044e-07
2048,1.08762447091826e-07,9.29822482925035e-08,2.71116312689249e-07,2.79174489788307e-07,4.19002871337175e-07,1.86791642052646e-07,2.06109268861732e-07,2.40113307825023e-07,1.81187542040416e-07,2.78514940223298e-07
2049,1.13961428075509e-07,7.80446241477403e-08,2.76204268966104e-07,2.87299679567314e-07,4.1659763859505e-07,2.1183413118868e-07,2.30546582171041e-07,2.35444264812892e-07,1.90559456740771e-07,2.36114284939841e-07
2050,1.06116928175348e-07,6.55938098114363e-08,2.76138968590414e-07,2.79156569046583e-07,4.18508087707644e-07,2.16583941078204e-07,2.28492658703624e-07,2.33749554366846e-07,1.89674803271819e-07,2.05491013407245e-07
2051,1.09325588459882e-07,1.19679662680725e-07,2.85455743241232e-07,2.83794036681867e-07,4.2584227946876e-07,2.32912882398181e-07,2.17401738363483e-07,2.18514458046754e-07,1.89787748215939e-07,2.18656704943071e-07
2052,1.04962916258577e-07,1.14422525762091e-07,3.11542283356087e-07,2.78778558072418e-07,4.23274137149087e-07,2.41993124457627e-07,2.38528743005403e-07,2.2268740450586e-07,1.91526804390881e-07,2.40006401884182e-07
2053,1.05036336004137e-07,8.77855699550875e-08,2.91857153192759e-07,2.68197794634493e-07,4.27061786482156e-07,2.37347039446517e-07,2.53127642494101e-07,2.19320782567221e-07,1.84391291665249e-07,2.15129710703626e-07
2054,1.09621244189359e-07,7.38528356464261e-08,2.71155588706929e-07,2.50476777179324e-07,4.23084287499877e-07,2.12278385098286e-07,2.32808963968808e-07,2.13169543883803e-07,1.88086864968497e-07,1.75993630493718e-07
2055,1.14180978565558e-07,5.31459333060939e-08,2.8918992897641e-07,2.76668215693346e-07,4.23739474859755e-07,1.95673354588777e-07,2.29669645132224e-07,2.14746177174886e-07,1.74994251229874e-07,1.64534966976595e-07
2056,1.08832149073773e-07,5.44097707058826e-08,2.67524422017169e-07,2.88661456109221e-07,4.15021228738812e-07,1.93681596662738e-07,2.23443699526679e-07,2.21252844588796e-07,2.10072656921117e-07,2.49599077699017e-07
2057,1.09209799763574e-07,7.60718581067921e-08,2.59460994076269e-07,2.66874312433723e-07,4.1664967570625e-07,1.99128771567208e-07,2.05704849283938e-07,2.36992187903445e-07,1.80964256716174e-07,2.72352665149592e-07
2058,1.13171740194923e-07,8.2835988287198e-08,2.43187709810991e-07,2.7891993052308e-07,4.24728477692407e-07,1.95455894626022e-07,2.16877541714071e-07,2.34822896406383e-07,1.7608774764731e-07,3.31741196125013e-07
2059,1.23694777333763e-07,6.84904866264321e-08,2.40842703647638e-07,2.6644152197734e-07,4.16639564070126e-07,1.85031906404554e-07,2.29246009231804e-07,2.32644271888421e-07,1.72597588943576e-07,3.34819926598048e-07
2060,1.17617248971867e-07,1.19856986914169e-07,2.63097619103551e-07,2.67219157706601e-07,4.26373892338605e-07,1.94095306190373e-07,2.28331604163313e-07,2.27600015055179e-07,1.97642650791469e-07,2.60869433453851e-07
2061,1.17089023105247e-07,1.18215468780923e-07,2.54973269230376e-07,2.67081697490885e-07,4.1349875279253e-07,2.0221753593186e-07,2.17802279029966e-07,2.24086916478828e-07,2.03719697442513e-07,2.05232782643998e-07
2062,1.05888236781597e-07,9.49706679199178e-08,2.63528983048906e-07,2.77488586220539e-07,4.24155391832795e-07,2.2524823338195e-07,2.12628959346143e-07,2.1326450264684e-07,1.91087067578498e-07,2.20104325343714e-07
2063,1.07684318708489e-07,8.14161313322872e-08,2.41618770565019e-07,2.72138471974583e-07,4.29910816224785e-07,2.54282751797509e-07,2.13636919403182e-07,2.23884440479796e-07,2.01437760733543e-07,1.94295532447421e-07
2064,1.05147179621742e-07,5.11988122104307e-08,2.50612341850543e-07,2.73524493697994e-07,3.94655106377489e-07,2.56355563480118e-07,2.39699588829908e-07,2.25414604787372e-07,2.01312057489456e-07,2.00036424828564e-07
2065,1.14693459588937e-07,4.86077079598758e-08,2.45068010731637e-07,2.59513580447793e-07,4.07596685631993e-07,2.60909508829066e-07,2.5768656251138e-07,2.24749142268261e-07,1.92577971369922e-07,2.37395304115332e-07
2066,1.07593426015159e-07,6.40757451859591e-08,2.66167173617861e-07,2.51785128901397e-07,3.99272913848625e-07,2.75316970375301e-07,2.34964286732242e-07,2.48045499781799e-07,1.91578604236586e-07,2.50389862968204e-07
2067,1.05266659509167e-07,9.74788699688986e-08,2.45092802170699e-07,2.68525370745464e-07,3.87536101343239e-07,2.7401581256654e-07,2.19988614567076e-07,2.32262848418741e-07,1.78908274754501e-07,1.8799297894632e-07
2068,1.08004022936522e-07,7.38181060914549e-08,2.31438908441378e-07,2.54444584940093e-07,4.00097443205639e-07,2.29772500259064e-07,2.3953946078358e-07,2.19458735184773e-07,1.9193382134889e-07,1.737684585712e-07
2069,1.11406959199558e-07,9.266526771241e-08,2.37074229908238e-07,2.58145922626784e-07,4.02440714033285e-07,2.06379533094067e-07,2.32674403841652e-07,2.03159816760964e-07,1.82166179579716e-07,1.92942445506298e-07
2070,1.19011579857757e-07,7.39939901269816e-08,2.41122503817445e-07,2.71094425222559e-07,4.11969481688552e-07,2.18455588939669e-07,2.41183305055702e-07,2.25297661069093e-07,1.84182084677335e-07,1.96163118189136e-07
2071,1.02018363385033e-07,6.52119093698223e-08,2.22395183253587e-07,2.54848117453249e-07,4.07845121828388e-07,2.06102648510599e-07,2.44555072306797e-07,2.34681580435405e-07,1.89978596086221e-07,2.09818035616307e-07
