YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
1997,594.7322388,462.1815491,473.2091675,611.3234863,209.4448395,241.9500885,285.5895081,291.1466064,194.4051056,113.6431198,216.6184235,162.432312,293.2644043
1998,580.4050293,460.2810059,457.6794739,618.0330811,218.8128357,217.8988342,287.9403076,319.7597656,188.2252197,113.4835281,231.4177246,165.1321411,304.1817017
1999,574.8693848,462.3447266,487.2442627,619.8786011,228.2313538,228.282074,295.5042725,330.5097046,171.1010284,111.287056,208.2443848,170.8853912,335.0638733
2000,608.7626343,446.5982971,463.2566528,626.7682495,214.0360718,240.40448,307.9779663,326.1642151,183.7275085,112.8760223,243.322998,187.7093201,297.8214417
2001,604.0081787,447.7395935,456.254364,628.4702148,209.9597931,218.0146484,298.2884521,291.3320007,180.1788483,114.7519226,199.0908966,184.3270416,342.086853
2002,583.961853,455.5477295,487.3848267,588.357666,213.1663055,208.9998169,277.4949036,297.8782654,163.4687958,115.7493896,230.521759,160.2678223,341.6313171
2003,567.456665,473.019104,450.8897095,635.9437256,225.4382935,194.7755432,277.3287964,294.6035767,167.421814,115.4334183,203.3588867,177.7498779,300.0350342
2004,578.0584106,449.4257202,474.3563232,603.9277344,198.1980743,193.6516724,285.0122986,300.0371094,187.7756805,115.805603,193.1416321,174.7938232,331.0149536
2005,560.3776245,444.0346985,455.9285889,609.741333,179.0012817,191.6065826,292.0461731,333.0905457,168.5480652,109.3083801,182.2984161,170.678894,337.4406433
2006,568.4555664,461.7052002,491.5940857,591.7341919,166.0874634,200.5857849,323.8760071,305.5134888,190.0048523,109.2802277,201.0759277,161.7878723,341.2600708
